对应纱线配绒等级	长度㎜	细度μm
G1	34.5≤b	c≤15
G2	32≤b＜34.5	c≤15
G3	28≤b＜30	c≤15
G4	28≤b＜30	c≤15
G5	26≤b＜28	c≤15
G6	26≤b＜28	c≤15
J0	34.5≤b	15.0＜c≤15.2
J1	34.5≤b	15.2＜c＜15.6
J2	34.5≤b	15.6≤c≤16.0
J3	33.5≤b＜34.5	16.3≤c≤16.6
J4	34.5≤b	16.0＜c≤16.2
J5	34.5≤b	16.2＜c＜16.5
A00	34.0≤b＜34.5	15.2＜c＜15.6
A01	32≤b＜34	15.2＜c＜15.6
A02	32≤b＜33.5	15.6≤c≤15.8
A03	31.5＜b＜33	15.8＜c≤16.0
A04	31.5＜b＜33	16.0＜c≤16.3
A05	31.5＜b＜33.5	16.3＜c≤16.5
A06	30≤b≤31.5	16.5＜c≤16.8
A07	30≤b＜33	16.8＜c≤17.6
B1	30≤b＜31.5	15.8＜c≤16.0
B2	28≤b＜30	15.8＜c≤16.0
B3	26≤b＜30	16.0＜c＜16.5
B4	26≤b＜28	15.8＜c≤16.0
B5	26≤b＜28	16.0＜c＜16.5
B6	30≤b	16.6＜c≤17.2
B7	28≤b＜30	16.5≤c≤16.8
C1	34.5≤b	16.5≤c≤16.6
C2	30≤b	17.2＜c
C3	34≤b＜34.5	15.0＜c≤15.2
C4	34≤b＜34.5	15.6≤c＜15.8
C5	34≤b＜34.5	15.8≤c＜16.3
C6	33.5≤b＜34	15.6≤c＜15.8
C7	33.5≤b＜34	15.8≤c＜16
C8	33.0＜b＜34	16.0≤c＜16.3
C9	33＜b＜33.5	15.8＜c＜16
C10	33≤b＜33.5	16.5＜c≤16.6
C11	30≤b＜32	c≤15.2
C12	32≤b＜34	15.0＜c≤15.2
C13	31.5＜b＜33	16.5＜c
C14	30≤b＜32	15.2＜c≤15.5
C15	30≤b＜32	15.5＜c≤15.8
C16	30≤b≤31.5	16.0＜c≤16.5
C17	30≤b＜33	17.6＜c
C18	28≤b＜30	16.8＜c
C19	26≤b＜30	15.0＜c≤15.2
C20	26≤b＜30	15.2＜c≤15.8
C21	26≤b＜28	16.5≤c
C22	24≤b＜26	c≤14
C23	24≤b＜26	14＜c≤14.5
C24	24≤b＜26	14.5＜c≤15
C25	24≤b＜26	15.0＜c≤15.2
C26	24≤b＜26	15.2＜c≤16
C27	24≤b＜26	16.0＜c
C28	20≤b＜24	不限
C29	b＜20	不限
C30	不限	不限
C31	30≤b	c≤16.5
C32	30≤b	16.5＜c
C33	b＜30	c≤16.5
C34	b＜30	16.5＜c
C35	b＜30	不限
C36	30≤b＜32	不限
C37	b≥32	不限
C38	不限	c≤17
C39	不限	17＜c
C40	b＜30	不限
C41	b≥30	不限
C42	不限	不限
C43	不限	不限
